"Data Source","Jobs",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Burkina Faso","BFA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","-0.504303389","2.162600527","-1.991135807","0.553455724","25.17787622","7.458844978","6.097804391","2.318690622","5.084333441","-1.072613628","-0.304212168","5.007432908","2.175694807","2.034565741","-0.400228702","6.415040184","2.333108564","-0.230627306","10.6597979","2.608176664","-0.764230735","2.759767249","3.818152403","0.533738507","-0.258089518","0.954993317","-0.247073221",
"Bangladesh","BGD","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","6.12671847","6.357364123","3.634076918","3.0148186","5.313740079","10.29781179","2.37712903","5.305601057","8.402237956","6.106695898","2.208256209","2.007173742","3.332564933","5.668707734","7.587536385","7.046618162","6.765261171","9.106984969","8.901944895","5.423472362","8.126676392","10.7048046","6.21818237","7.529972823","6.991165327","6.19428023","5.513525727",
"Bulgaria","BGR","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","23.8","338.4491115","91.29793273","72.87879139","96.05733827","62.05483368","121.6075","1058.373852","18.67225979","2.573009064","10.3162598","7.360950516","5.810130513","2.157107037","6.346133143","5.038843534","7.261613313","8.402486753","12.34877209","2.753172487","2.438990605","4.219903466","2.954568298","0.890093541","-1.418122662","-0.104872333","-0.79852306",
"Bahrain","BHR","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","0.929335437","0.764419736","-0.172413793","2.538860104","0.816910898","2.704034751","-0.452227383","2.43155134","-0.366533865","-1.287587972","-0.704852953","-1.207571802","-0.495540139","1.593625498","2.352941176","2.586206897","2.007469655","3.256666667","3.526003164","2.795512836","1.961884683","-0.36444775","2.754553598","3.305484926","2.651195499","1.835993697","2.798520013",
"Bahamas, The","BHS","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","4.66931912","7.114681202","5.738198862","2.72289767","1.399334237","2.066994954","1.379137412","0.544150383","1.336613366","1.25424826","1.606329417","2.044989775","2.173577925","3.025045263","0.981914037","1.591606181","2.389826274","2.492577949","4.489559954","2.062734735","1.344027384","3.198781417","1.984598107","0.346878097","1.504464399","1.870807743","-0.34637693",
"Bosnia and Herzegovina","BIH","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","6.125","1.515508441","7.416856492","-0.390194249","2.188537852","3.641666667","2.082495779","-0.086641462","-0.914465905","-0.851300819","-1.251444391",
"Belarus","BLR","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","1190.232999","2221.016806","709.3460398","52.71207699","63.93736625","72.86971714","293.6787508","168.6202359","61.13493312","42.53754813","28.39783993","18.10824248","10.33887946","7.033029285","8.421500392","14.83787648","12.94565634","7.735748043","53.22869831","59.21973602","18.31226104","18.11955435","13.53448976","11.83658077",
"Belize","BLZ","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","3.05907173","0.761951501","2.39670073","1.472596947","2.569343046","2.889615844","5.965020975","1.149037568","2.1952625","2.621395246","3.067439669","3.651417866","4.240266607","2.318082747","6.394430997","-1.104310444","-7.113767713","2.318082746","6.394431003","-1.104310449","0.917977379","1.602056156","1.300606735","0.509747769","1.201399645","-0.885281552","",
"Bermuda","BMU","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","17.1187746","21.44706982","12.0603236","8.527876957","7.874044215","10.19320676","12.42548662","4.70844436","7.673228957","2.159516268","4.608229989","1.589653779","0.928258852","3.337274997","4.437380801","5.393231069","4.285549266","8.706247231","14.00040758","3.349369826","2.501767027","9.812689841","4.586374696","5.715580098","5.783563722","4.060963726","3.625239368",
"Brazil","BRA","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","2947.73293","432.7846016","951.6484599","1927.983498","2075.887182","66.00787631","15.7574361","6.925316945","3.198591891","4.857966241","7.044702451","6.837830757","8.450220696","14.71532583","6.599124847","6.86734958","4.183680532","3.637027934","5.663098519","4.886408444","5.038316946","6.636198657","5.40196475","6.201899613","6.332092342","9.027601288","8.739478523",
"Barbados","BRB","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","3.074572711","6.257526633","6.09389303","1.113439336","0.077204388","1.878862794","2.386152228","7.71053879","-1.268886607","1.560062402","2.435813035","2.577834904","0.125249458","1.619433198","1.394422311","6.082187295","7.307662628","4.034229829","8.108108108","3.643861893","5.824218533","9.432202402","4.533347539","1.804005504","1.887170246","-1.061216469","",
"Brunei Darussalam","BRN","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","2.138662932","1.6","1.279527559","4.25170068","2.462518449","5.966641395","1.99613651","1.711560045","-0.44137931","-0.415627598","1.558152476","0.595890411","-2.314972425","0.3","0.814223995","1.244437119","0.159888078","0.96777412","2.084980237","1.035717743","0.356869132","2.015934385","0.464102858","0.383263086","-0.194426292","-0.423925668","-0.732323022",
